t,accel,gyro,temp
4.80,1.473,-61.51,25.55
4.85,2.264,-53.76,25.56
4.90,2.995,-45.90,25.58
4.95,3.653,-37.94,25.59
5.00,4.231,-29.91,25.60
5.05,4.731,-21.81,25.62
5.10,5.160,-13.67,25.63
5.15,5.533,-5.50,25.65
5.20,5.867,2.68,25.66
5.25,6.182,10.85,25.68
5.30,6.496,19.01,25.69
5.35,6.826,27.12,25.71
5.40,7.183,35.18,25.72
5.45,7.570,43.16,25.74
5.50,7.986,51.06,25.75
5.55,8.421,58.85,25.77
5.60,8.859,66.52,25.78
5.65,9.281,74.05,25.79
5.70,9.663,81.43,25.81
5.75,9.984,88.64,25.82
5.80,10.223,95.67,25.84
5.85,10.364,102.49,25.85
5.90,10.398,109.11,25.87
5.95,10.323,115.50,25.88
6.00,10.143,121.66,25.89
6.05,9.871,127.56,25.91
6.10,9.524,133.20,25.92
6.15,9.124,138.56,25.94
6.20,8.693,143.64,25.95
6.25,8.254,148.42,25.96
6.30,7.825,152.90,25.98
6.35,7.419,157.05,25.99
6.40,7.044,160.89,26.00
6.45,6.698,164.39,26.02
6.50,6.375,167.55,26.03
6.55,6.063,170.37,26.05
6.60,5.743,172.83,26.06
6.65,5.396,174.94,26.07
6.70,5.004,176.68,26.09
6.75,4.549,178.06,26.10
6.80,4.021,179.08,26.11
6.85,3.412,179.72,26.13
6.90,2.725,179.99,26.14
6.95,1.969,179.89,26.15
7.00,1.160,179.42,26.17
7.05,0.317,178.58,26.18
7.10,-0.535,177.36,26.19
7.15,-1.372,175.79,26.21
7.20,-2.169,173.84,26.22
7.25,-2.909,171.54,26.23
7.30,-3.576,168.89,26.24
7.35,-4.164,165.89,26.26
7.40,-4.673,162.54,26.27
7.45,-5.110,158.86,26.28
7.50,-5.489,154.85,26.29
7.55,-5.827,150.52,26.31
7.60,-6.143,145.88,26.32
7.65,-6.457,140.94,26.33
7.70,-6.784,135.70,26.35
7.75,-7.137,130.19,26.36
7.80,-7.521,124.41,26.37
7.85,-7.934,118.37,26.38
7.90,-8.367,112.08,26.39
7.95,-8.806,105.57,26.41
8.00,-9.230,98.83,26.42
8.05,-9.619,91.90,26.43
8.10,-9.948,84.77,26.44
8.15,-10.198,77.46,26.45
8.20,-10.352,70.00,26.47
8.25,-10.400,62.39,26.48
8.30,-10.338,54.66,26.49
8.35,-10.170,46.81,26.50
8.40,-9.909,38.86,26.51
8.45,-9.570,30.84,26.53
8.50,-9.176,22.75,26.54
8.55,-8.748,14.61,26.55
8.60,-8.309,6.44,26.56
8.65,-7.877,-1.74,26.57
8.70,-7.468,-9.91,26.58
8.75,-7.088,-18.07,26.59
8.80,-6.739,-26.19,26.61
8.85,-6.415,-34.25,26.62
8.90,-6.101,-42.25,26.63
8.95,-5.783,-50.16,26.64
9.00,-5.441,-57.96,26.65
9.05,-5.056,-65.64,26.66
9.10,-4.609,-73.19,26.67
9.15,-4.090,-80.59,26.68
9.20,-3.492,-87.82,26.69
9.25,-2.814,-94.87,26.70
9.30,-2.066,-101.72,26.71
9.35,-1.262,-108.36,26.73
9.40,-0.422,-114.78,26.74
9.45,0.430,-120.96,26.75
9.50,1.270,-126.89,26.76
9.55,2.073,-132.56,26.77
9.60,2.821,-137.96,26.78
9.65,3.497,-143.07,26.79
9.70,4.095,-147.89,26.80
9.75,4.614,-152.40,26.81
9.80,5.059,-156.59,26.82
9.85,5.445,-160.46,26.83
9.90,5.786,-164.00,26.84
9.95,6.104,-167.20,26.85
10.00,6.417,-170.06,26.86
10.05,6.742,-172.57,26.87
10.10,7.092,-174.71,26.88
10.15,7.472,-176.50,26.89
10.20,7.881,-177.92,26.90
10.25,8.312,-178.98,26.91
10.30,8.752,-179.66,26.92
10.35,9.179,-179.98,26.92
10.40,9.574,-179.92,26.93
10.45,9.912,-179.49,26.94
10.50,10.172,-178.69,26.95
10.55,10.339,-177.52,26.96
10.60,10.400,-175.99,26.97
10.65,10.351,-174.09,26.98
10.70,10.196,-171.83,26.99
10.75,9.946,-169.21,27.00
10.80,9.616,-166.25,27.01
10.85,9.227,-162.94,27.01
10.90,8.802,-159.30,27.02
10.95,8.363,-155.33,27.03
11.00,7.930,-151.03,27.04
11.05,7.517,-146.43,27.05
11.10,7.134,-141.52,27.06
11.15,6.781,-136.32,27.07
11.20,6.454,-130.84,27.07
11.25,6.140,-125.08,27.08
11.30,5.824,-119.07,27.09
11.35,5.486,-112.82,27.10
11.40,5.106,-106.33,27.11
11.45,4.668,-99.62,27.11
11.50,4.159,-92.70,27.12
11.55,3.570,-85.60,27.13
11.60,2.902,-78.31,27.14
11.65,2.163,-70.87,27.14
11.70,1.364,-63.28,27.15
11.75,0.528,-55.55,27.16
11.80,-0.325,-47.72,27.17
11.85,-1.167,-39.78,27.17
11.90,-1.976,-31.76,27.18
11.95,-2.732,-23.68,27.19
12.00,-3.418,-15.55,27.20
12.05,-4.026,-7.38,27.20
12.10,-4.554,0.80,27.21
12.15,-5.008,8.97,27.22
12.20,-5.400,17.13,27.22
12.25,-5.746,25.26,27.23
12.30,-6.066,33.33,27.24
12.35,-6.378,41.33,27.24
12.40,-6.701,49.25,27.25
12.45,-7.047,57.07,27.26
12.50,-7.423,64.77,27.26
12.55,-7.829,72.33,27.27
12.60,-8.258,79.74,27.28
12.65,-8.697,86.99,27.28
12.70,-9.128,94.07,27.29
12.75,-9.527,100.94,27.29
12.80,-9.873,107.61,27.30
12.85,-10.145,114.05,27.31
12.90,-10.324,120.26,27.31
12.95,-10.398,126.23,27.32
13.00,-10.363,131.93,27.32
13.05,-10.221,137.35,27.33
13.10,-9.982,142.50,27.34
13.15,-9.660,147.35,27.34
13.20,-9.277,151.89,27.35
13.25,-8.856,156.13,27.35
13.30,-8.417,160.03,27.36
13.35,-7.983,163.61,27.36
13.40,-7.567,166.85,27.37
13.45,-7.180,169.75,27.37
13.50,-6.823,172.30,27.38
13.55,-6.493,174.48,27.38
13.60,-6.179,176.31,27.39
13.65,-5.864,177.78,27.39
13.70,-5.529,178.88,27.40
13.75,-5.156,179.60,27.40
13.80,-4.726,179.96,27.41
13.85,-4.226,179.95,27.41
13.90,-3.648,179.56,27.41
13.95,-2.989,178.80,27.42
14.00,-2.258,177.67,27.42
14.05,-1.466,176.18,27.43
14.10,-0.633,174.32,27.43
14.15,0.219,172.11,27.44
14.20,1.064,169.53,27.44
14.25,1.879,166.61,27.44
14.30,2.642,163.34,27.45
14.35,3.337,159.74,27.45
14.40,3.955,155.80,27.45
14.45,4.492,151.54,27.46
14.50,4.955,146.97,27.46
14.55,5.354,142.10,27.46
14.60,5.705,136.93,27.47
14.65,6.027,131.48,27.47
14.70,6.339,125.76,27.47
14.75,6.660,119.78,27.48
14.80,7.002,113.55,27.48
14.85,7.374,107.09,27.48
14.90,7.777,100.40,27.49
14.95,8.204,93.51,27.49
15.00,8.643,86.42,27.49
15.05,9.076,79.16,27.50
15.10,9.480,71.73,27.50
15.15,9.834,64.16,27.50
15.20,10.116,56.45,27.50
15.25,10.307,48.62,27.51
15.30,10.395,40.70,27.51
15.35,10.373,32.69,27.51
15.40,10.244,24.61,27.51
15.45,10.016,16.49,27.51
15.50,9.704,8.32,27.52
15.55,9.327,0.14,27.52
15.60,8.909,-8.03,27.52
15.65,8.472,-16.20,27.52
15.70,8.036,-24.33,27.52
15.75,7.617,-32.41,27.52
15.80,7.226,-40.42,27.53
15.85,6.866,-48.35,27.53
15.90,6.533,-56.17,27.53
15.95,6.217,-63.89,27.53
16.00,5.903,-71.47,27.53
16.05,5.573,-78.90,27.53
16.10,5.205,-86.17,27.53
16.15,4.783,-93.26,27.54
16.20,4.292,-100.16,27.54
16.25,3.724,-106.85,27.54
16.30,3.075,-113.32,27.54
16.35,2.352,-119.56,27.54
16.40,1.567,-125.55,27.54
16.45,0.737,-131.28,27.54
16.50,-0.113,-136.74,27.54
16.55,-0.961,-141.92,27.54
16.60,-1.780,-146.81,27.54
16.65,-2.551,-151.39,27.54
16.70,-3.255,-155.65,27.54
16.75,-3.882,-159.60,27.54
16.80,-4.430,-163.22,27.54
16.85,-4.902,-166.50,27.54
16.90,-5.307,-169.43,27.54
16.95,-5.663,-172.02,27.54
17.00,-5.988,-174.25,27.54
17.05,-6.300,-176.12,27.54
17.10,-6.619,-177.63,27.54
17.15,-6.958,-178.77,27.54
17.20,-7.327,-179.54,27.54
17.25,-7.726,-179.94,27.54
17.30,-8.150,-179.97,27.54
17.35,-8.589,-179.62,27.54
17.40,-9.023,-178.91,27.54
17.45,-9.432,-177.82,27.54
17.50,-9.794,-176.37,27.54
17.55,-10.086,-174.56,27.53
17.60,-10.289,-172.38,27.53
17.65,-10.390,-169.85,27.53
17.70,-10.382,-166.96,27.53
17.75,-10.266,-163.73,27.53
17.80,-10.049,-160.17,27.53
17.85,-9.746,-156.27,27.53
17.90,-9.377,-152.05,27.52
17.95,-8.963,-147.51,27.52
18.00,-8.526,-142.67,27.52
18.05,-8.089,-137.54,27.52
18.10,-7.667,-132.12,27.52
18.15,-7.273,-126.43,27.52
18.20,-6.909,-120.48,27.51
18.25,-6.573,-114.28,27.51
18.30,-6.256,-107.84,27.51
18.35,-5.943,-101.18,27.51
18.40,-5.615,-94.31,27.51
18.45,-5.253,-87.25,27.50
18.50,-4.839,-80.00,27.50
18.55,-4.357,-72.59,27.50
18.60,-3.798,-65.04,27.50
18.65,-3.160,-57.34,27.49
18.70,-2.445,-49.53,27.49
18.75,-1.667,-41.61,27.49
18.80,-0.842,-33.61,27.48
18.85,0.008,-25.54,27.48
18.90,0.857,-17.42,27.48
18.95,1.681,-9.26,27.48
19.00,2.458,-1.09,27.47
19.05,3.172,7.09,27.47
19.10,3.809,15.26,27.47
19.15,4.366,23.39,27.46
19.20,4.847,31.48,27.46
19.25,5.260,39.50,27.46
19.30,5.621,47.44,27.45
19.35,5.948,55.28,27.45
19.40,6.262,63.01,27.44
19.45,6.579,70.60,27.44
19.50,6.915,78.05,27.44
19.55,7.279,85.34,27.43
19.60,7.675,92.46,27.43
19.65,8.097,99.38,27.42
19.70,8.534,106.09,27.42
19.75,8.970,112.59,27.42
19.80,9.384,118.86,27.41
19.85,9.752,124.88,27.41
19.90,10.054,130.64,27.40
19.95,10.269,136.13,27.40
20.00,10.383,141.34,27.39
20.05,10.389,146.26,27.39
20.10,10.286,150.88,27.39
20.15,10.081,155.18,27.38
20.20,9.788,159.16,27.38
20.25,9.426,162.82,27.37
20.30,9.015,166.14,27.37
20.35,8.581,169.11,27.36
20.40,8.143,171.74,27.36
20.45,7.718,174.01,27.35
20.50,7.320,175.92,27.35
20.55,6.952,177.47,27.34
20.60,6.613,178.66,27.33
20.65,6.295,179.47,27.33
20.70,5.982,179.91,27.32
20.75,5.657,179.98,27.32
20.80,5.301,179.68,27.31
20.85,4.894,179.01,27.31
20.90,4.421,177.97,27.30
20.95,3.872,176.56,27.30
21.00,3.243,174.78,27.29
21.05,2.537,172.65,27.28
21.10,1.766,170.16,27.28
21.15,0.946,167.31,27.27
21.20,0.098,164.12,27.27
21.25,-0.752,160.59,27.26
21.30,-1.581,156.73,27.25
21.35,-2.365,152.55,27.25
21.40,-3.087,148.05,27.24
21.45,-3.734,143.25,27.23
21.50,-4.302,138.15,27.23
21.55,-4.791,132.76,27.22
21.60,-5.212,127.10,27.21
21.65,-5.579,121.18,27.21
21.70,-5.909,115.00,27.20
21.75,-6.223,108.59,27.19
21.80,-6.539,101.96,27.19
21.85,-6.872,95.11,27.18
21.90,-7.233,88.07,27.17
21.95,-7.624,80.85,27.17
22.00,-8.043,73.45,27.16
22.05,-8.480,65.91,27.15
22.10,-8.917,58.23,27.14
22.15,-9.335,50.43,27.14
22.20,-9.710,42.53,27.13
22.25,-10.021,34.54,27.12
22.30,-10.247,26.48,27.11
22.35,-10.375,18.36,27.11
22.40,-10.394,10.20,27.10
22.45,-10.304,2.03,27.09
22.50,-10.112,-6.15,27.08
22.55,-9.829,-14.32,27.08
22.60,-9.473,-22.46,27.07
22.65,-9.068,-30.55,27.06
22.70,-8.635,-38.58,27.05
22.75,-8.196,-46.53,27.04
22.80,-7.770,-54.38,27.04
22.85,-7.368,-62.12,27.03
22.90,-6.996,-69.74,27.02
22.95,-6.654,-77.20,27.01
23.00,-6.334,-84.51,27.00
23.05,-6.021,-91.65,27.00
23.10,-5.699,-98.59,26.99
23.15,-5.347,-105.33,26.98
23.20,-4.947,-111.86,26.97
23.25,-4.484,-118.15,26.96
23.30,-3.944,-124.20,26.95
23.35,-3.325,-129.99,26.94
23.40,-2.629,-135.51,26.94
23.45,-1.865,-140.76,26.93
23.50,-1.049,-145.71,26.92
23.55,-0.204,-150.36,26.91
23.60,0.648,-154.70,26.90
23.65,1.480,-158.72,26.89
23.70,2.271,-162.42,26.88
23.75,3.002,-165.77,26.87
23.80,3.659,-168.79,26.86
23.85,4.236,-171.46,26.85
23.90,4.735,-173.77,26.85
23.95,5.163,-175.72,26.84
24.00,5.536,-177.31,26.83
24.05,5.869,-178.54,26.82
24.10,6.184,-179.39,26.81
24.15,6.499,-179.88,26.80
24.20,6.829,-179.99,26.79
24.25,7.186,-179.73,26.78
24.30,7.574,-179.11,26.77
24.35,7.990,-178.11,26.76
24.40,8.425,-176.74,26.75
24.45,8.863,-175.01,26.74
24.50,9.285,-172.91,26.73
24.55,9.667,-170.46,26.72
24.60,9.987,-167.66,26.71
24.65,10.225,-164.51,26.70
24.70,10.365,-161.02,26.69
24.75,10.398,-157.19,26.68
24.80,10.321,-153.05,26.67
24.85,10.141,-148.58,26.66
24.90,9.868,-143.81,26.65
24.95,9.521,-138.75,26.64
25.00,9.120,-133.39,26.63
25.05,8.690,-127.76,26.62
25.10,8.250,-121.87,26.61
25.15,7.821,-115.73,26.60
25.20,7.416,-109.34,26.59
25.25,7.040,-102.73,26.58
25.30,6.695,-95.91,26.57
25.35,6.373,-88.89,26.56
25.40,6.060,-81.69,26.54
25.45,5.740,-74.31,26.53
25.50,5.393,-66.79,26.52
25.55,5.000,-59.12,26.51
25.60,4.545,-51.34,26.50
25.65,4.015,-43.44,26.49
25.70,3.406,-35.46,26.48
25.75,2.719,-27.41,26.47
25.80,1.963,-19.29,26.46
25.85,1.152,-11.14,26.45
25.90,0.309,-2.97,26.44
25.95,-0.543,5.21,26.42
26.00,-1.379,13.38,26.41
26.05,-2.176,21.53,26.40
26.10,-2.915,29.62,26.39
26.15,-3.581,37.66,26.38
26.20,-4.169,45.62,26.37
26.25,-4.677,53.48,26.36
26.30,-5.114,61.24,26.35
26.35,-5.492,68.87,26.33
26.40,-5.830,76.35,26.32
26.45,-6.146,83.68,26.31
26.50,-6.459,90.84,26.30
26.55,-6.787,97.80,26.29
26.60,-7.140,104.57,26.28
26.65,-7.524,111.12,26.26
26.70,-7.937,117.44,26.25
26.75,-8.371,123.51,26.24
26.80,-8.810,129.34,26.23
26.85,-9.234,134.89,26.22
26.90,-9.622,140.17,26.21
26.95,-9.951,145.15,26.19
27.00,-10.200,149.84,26.18
27.05,-10.353,154.22,26.17
27.10,-10.400,158.28,26.16
27.15,-10.337,162.01,26.15
27.20,-10.168,165.41,26.13
27.25,-9.906,168.46,26.12
27.30,-9.567,171.17,26.11
27.35,-9.172,173.52,26.10
27.40,-8.744,175.52,26.09
27.45,-8.305,177.15,26.07
27.50,-7.874,178.42,26.06
27.55,-7.464,179.31,26.05
27.60,-7.085,179.84,26.04
27.65,-6.736,180.00,26.02
27.70,-6.412,179.78,26.01
27.75,-6.099,179.20,26.00
27.80,-5.781,178.24,25.99
27.85,-5.438,176.91,25.98
27.90,-5.052,175.22,25.96
27.95,-4.605,173.17,25.95
28.00,-4.085,170.76,25.94
28.05,-3.486,168.00,25.93
28.10,-2.808,164.89,25.91
28.15,-2.060,161.44,25.90
28.20,-1.255,157.65,25.89
28.25,-0.415,153.54,25.88
28.30,0.437,149.11,25.86
28.35,1.277,144.38,25.85
28.40,2.080,139.35,25.84
28.45,2.827,134.02,25.83
28.50,3.503,128.43,25.81
28.55,4.100,122.56,25.80
28.60,4.618,116.45,25.79
28.65,5.063,110.09,25.77
28.70,5.448,103.50,25.76
28.75,5.789,96.71,25.75
28.80,6.107,89.71,25.74
28.85,6.420,82.52,25.72
28.90,6.745,75.17,25.71
28.95,7.095,67.66,25.70
29.00,7.475,60.01,25.68
29.05,7.885,52.24,25.67
29.10,8.316,44.36,25.66
29.15,8.755,36.38,25.65
29.20,9.183,28.34,25.63
29.25,9.577,20.23,25.62
29.30,9.914,12.08,25.61
29.35,10.174,3.91,25.59
29.40,10.340,-4.27,25.58
29.45,10.400,-12.44,25.57
29.50,10.350,-20.59,25.55
29.55,10.195,-28.69,25.54
29.60,9.943,-36.74,25.53
29.65,9.613,-44.71,25.52
29.70,9.223,-52.58,25.50
29.75,8.798,-60.35,25.49
29.80,8.359,-68.00,25.48
29.85,7.926,-75.50,25.46
29.90,7.514,-82.85,25.45
29.95,7.131,-90.02,25.44
30.00,6.778,-97.01,25.42
30.05,6.451,-103.80,25.41
30.10,6.137,-110.38,25.40
30.15,5.821,-116.72,25.38
30.20,5.483,-122.83,25.37
30.25,5.103,-128.68,25.36
30.30,4.664,-134.27,25.34
30.35,4.154,-139.57,25.33
30.40,3.565,-144.60,25.32
30.45,2.896,-149.32,25.30
30.50,2.156,-153.73,25.29
30.55,1.357,-157.83,25.28
30.60,0.520,-161.60,25.26
30.65,-0.332,-165.03,25.25
30.70,-1.175,-168.13,25.24
30.75,-1.983,-170.87,25.22
30.80,-2.738,-173.27,25.21
30.85,-3.424,-175.31,25.20
30.90,-4.031,-176.98,25.18
30.95,-4.558,-178.29,25.17
31.00,-5.011,-179.23,25.16
31.05,-5.403,-179.80,25.14
31.10,-5.749,-180.00,25.13
31.15,-6.068,-179.83,25.12
31.20,-6.381,-179.28,25.10
31.25,-6.704,-178.37,25.09
31.30,-7.050,-177.09,25.08
31.35,-7.426,-175.44,25.06
31.40,-7.833,-173.42,25.05
31.45,-8.262,-171.06,25.04
31.50,-8.701,-168.33,25.02
31.55,-9.131,-165.26,25.01
31.60,-9.531,-161.85,25.00
31.65,-9.876,-158.10,24.98
31.70,-10.147,-154.03,24.97
31.75,-10.325,-149.64,24.96
31.80,-10.398,-144.94,24.94
31.85,-10.362,-139.94,24.93
31.90,-10.219,-134.65,24.92
31.95,-9.979,-129.08,24.90
32.00,-9.657,-123.25,24.89
32.05,-9.274,-117.16,24.88
32.10,-8.852,-110.83,24.86
32.15,-8.413,-104.27,24.85
32.20,-7.979,-97.50,24.84
32.25,-7.563,-90.52,24.83
32.30,-7.176,-83.36,24.81
32.35,-6.820,-76.02,24.80
32.40,-6.490,-68.53,24.79
32.45,-6.176,-60.90,24.77
32.50,-5.861,-53.14,24.76
32.55,-5.526,-45.27,24.75
32.60,-5.153,-37.31,24.73
32.65,-4.722,-29.27,24.72
32.70,-4.221,-21.17,24.71
32.75,-3.642,-13.02,24.69
32.80,-2.983,-4.85,24.68
32.85,-2.251,3.33,24.67
32.90,-1.459,11.51,24.65
32.95,-0.625,19.66,24.64
33.00,0.227,27.77,24.63
33.05,1.072,35.82,24.61
33.10,1.886,43.80,24.60
33.15,2.648,51.68,24.59
33.20,3.343,59.47,24.57
33.25,3.960,67.12,24.56
33.30,4.497,74.64,24.55
33.35,4.959,82.01,24.54
33.40,5.357,89.20,24.52
33.45,5.708,96.22,24.51
33.50,6.029,103.03,24.50
33.55,6.342,109.63,24.48
33.60,6.663,116.00,24.47
33.65,7.006,122.14,24.46
33.70,7.378,128.02,24.44
33.75,7.781,133.64,24.43
33.80,8.208,138.98,24.42
33.85,8.647,144.03,24.41
33.90,9.079,148.79,24.39
33.95,9.484,153.24,24.38
34.00,9.837,157.37,24.37
34.05,10.118,161.18,24.35
34.10,10.308,164.65,24.34
34.15,10.395,167.79,24.33
34.20,10.373,170.58,24.32
34.25,10.243,173.01,24.30
34.30,10.014,175.09,24.29
34.35,9.701,176.81,24.28
34.40,9.324,178.16,24.26
34.45,8.905,179.14,24.25
34.50,8.468,179.75,24.24
34.55,8.032,180.00,24.23
34.60,7.613,179.87,24.21
34.65,7.223,179.36,24.20
34.70,6.863,178.49,24.19
34.75,6.530,177.25,24.18
34.80,6.215,175.64,24.16
34.85,5.901,173.67,24.15
34.90,5.569,171.35,24.14
34.95,5.202,168.66,24.13
35.00,4.779,165.63,24.11
35.05,4.288,162.26,24.10
35.10,3.718,158.55,24.09
35.15,3.069,154.52,24.08
35.20,2.345,150.16,24.07
35.25,1.559,145.49,24.05
35.30,0.730,140.53,24.04
35.35,-0.121,135.27,24.03
35.40,-0.968,129.74,24.02
35.45,-1.787,123.93,24.00
35.50,-2.557,117.87,23.99
35.55,-3.261,111.57,23.98
35.60,-3.888,105.04,23.97
35.65,-4.435,98.29,23.96
35.70,-4.905,91.33,23.94
35.75,-5.311,84.19,23.93
35.80,-5.666,76.88,23.92
35.85,-5.990,69.40,23.91
35.90,-6.303,61.78,23.90
35.95,-6.622,54.04,23.88
36.00,-6.962,46.18,23.87
36.05,-7.330,38.23,23.86
36.10,-7.729,30.19,23.85
36.15,-8.154,22.10,23.84
36.20,-8.593,13.96,23.83
36.25,-9.027,5.79,23.81
36.30,-9.436,-2.39,23.80
36.35,-9.797,-10.57,23.79
36.40,-10.088,-18.72,23.78
36.45,-10.290,-26.83,23.77
36.50,-10.390,-34.89,23.76
36.55,-10.382,-42.88,23.74
36.60,-10.264,-50.78,23.73
36.65,-10.047,-58.58,23.72
36.70,-9.743,-66.25,23.71
36.75,-9.373,-73.79,23.70
36.80,-8.959,-81.17,23.69
36.85,-8.522,-88.39,23.68
36.90,-8.085,-95.42,23.67
36.95,-7.664,-102.26,23.65
37.00,-7.269,-108.88,23.64
37.05,-6.906,-115.28,23.63
37.10,-6.570,-121.44,23.62
37.15,-6.253,-127.36,23.61
37.20,-5.940,-133.00,23.60
37.25,-5.612,-138.38,23.59
37.30,-5.250,-143.47,23.58
37.35,-4.835,-148.26,23.57
37.40,-4.353,-152.74,23.56
37.45,-3.793,-156.91,23.55
37.50,-3.154,-160.76,23.54
37.55,-2.439,-164.27,23.52
37.60,-1.660,-167.45,23.51
37.65,-0.834,-170.27,23.50
37.70,0.015,-172.75,23.49
37.75,0.864,-174.87,23.48
37.80,1.688,-176.63,23.47
37.85,2.465,-178.02,23.46
37.90,3.178,-179.05,23.45
37.95,3.814,-179.70,23.44
38.00,4.371,-179.99,23.43
38.05,4.851,-179.90,23.42
38.10,5.264,-179.44,23.41
38.15,5.624,-178.61,23.40
38.20,5.951,-177.41,23.39
38.25,6.264,-175.85,23.38
38.30,6.582,-173.92,23.37
38.35,6.918,-171.63,23.36
38.40,7.283,-168.99,23.35
38.45,7.678,-166.00,23.34
38.50,8.101,-162.66,23.33
38.55,8.538,-158.99,23.32
38.60,8.974,-155.00,23.31
38.65,9.387,-150.68,23.30
38.70,9.755,-146.05,23.29
38.75,10.056,-141.12,23.28
38.80,10.270,-135.89,23.27
38.85,10.384,-130.39,23.26
38.90,10.389,-124.61,23.26
38.95,10.285,-118.58,23.25
39.00,10.079,-112.31,23.24
39.05,9.785,-105.80,23.23
39.10,9.422,-99.07,23.22
39.15,9.012,-92.14,23.21
39.20,8.577,-85.02,23.20
39.25,8.139,-77.73,23.19
39.30,7.715,-70.27,23.18
39.35,7.316,-62.67,23.17
39.40,6.949,-54.93,23.16
39.45,6.611,-47.09,23.16
39.50,6.292,-39.15,23.15
39.55,5.979,-31.12,23.14
39.60,5.654,-23.03,23.13
39.65,5.297,-14.90,23.12
39.70,4.890,-6.73,23.11
39.75,4.416,1.45,23.10
39.80,3.867,9.63,23.10
39.85,3.237,17.78,23.09
39.90,2.531,25.90,23.08
39.95,1.759,33.97,23.07
40.00,0.938,41.97,23.06
40.05,0.091,49.88,23.05
40.10,-0.760,57.69,23.05
40.15,-1.588,65.37,23.04
40.20,-2.372,72.93,23.03
40.25,-3.093,80.33,23.02
40.30,-3.740,87.57,23.02
40.35,-4.306,94.62,23.01
40.40,-4.795,101.48,23.00
40.45,-5.216,108.13,22.99
40.50,-5.582,114.56,22.98
40.55,-5.912,120.75,22.98
40.60,-6.226,126.69,22.97
40.65,-6.542,132.37,22.96
40.70,-6.875,137.77,22.95
40.75,-7.236,142.90,22.95
40.80,-7.628,147.72,22.94
40.85,-8.047,152.24,22.93
40.90,-8.484,156.45,22.93
40.95,-8.921,160.33,22.92
41.00,-9.338,163.88,22.91
41.05,-9.713,167.10,22.90
